Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
7,1.66 mM KCl,260.0,90.0,21.0,2,Cooling,775,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
8,1.66 mM KCl,260.0,21.0,90.0,2,Heating,776,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
9,0.8 mM KCl,260.0,90.0,21.0,1,Cooling,777,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
10,0.8 mM KCl,260.0,21.0,90.0,1,Heating,778,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
11,0.8 mM KCl,260.0,90.0,21.0,2,Cooling,779,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
12,0.8 mM KCl,260.0,21.0,90.0,2,Heating,780,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
13,0.08 mM KCl,260.0,90.0,21.0,1,Cooling,781,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
14,0.08 mM KCl,260.0,21.0,90.0,1,Heating,782,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
15,0.08 mM KCl,260.0,90.0,21.0,2,Cooling,783,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
16,0.08 mM KCl,260.0,21.0,90.0,2,Heating,784,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
1,26 mM KCl,260.0,90.0,21.0,1,Cooling,801,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),26.0,mM
2,26 mM KCl,260.0,21.0,90.0,1,Heating,802,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),26.0,mM
3,26 mM KCl,260.0,90.0,21.0,2,Cooling,803,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),26.0,mM
4,26 mM KCl,260.0,21.0,90.0,2,Heating,804,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),26.0,mM
5,21 mM KCl,260.0,90.0,21.0,1,Cooling,805,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),21.0,mM
6,21 mM KCl,260.0,21.0,90.0,1,Heating,806,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),21.0,mM
7,21 mM KCl,260.0,90.0,21.0,2,Cooling,807,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),21.0,mM
8,21 mM KCl,260.0,21.0,90.0,2,Heating,808,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),21.0,mM
9,17 mM KCl,260.0,90.0,21.0,1,Cooling,809,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),17.0,mM
10,17 mM KCl,260.0,21.0,90.0,1,Heating,810,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),17.0,mM
11,17 mM KCl,260.0,90.0,21.0,2,Cooling,811,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),17.0,mM
12,17 mM KCl,260.0,21.0,90.0,2,Heating,812,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),17.0,mM
13,8.3 mM KCl,260.0,90.0,21.0,1,Cooling,813,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),8.3,mM
14,8.3 mM KCl,260.0,21.0,90.0,1,Heating,814,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),8.3,mM
15,8.3 mM KCl,260.0,90.0,21.0,2,Cooling,815,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),8.3,mM
16,8.3 mM KCl,260.0,21.0,90.0,2,Heating,816,2024-01-25_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),8.3,mM
1,516 mM KCl,260.0,90.0,21.0,1,Cooling,833,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),516.0,mM
2,516 mM KCl,260.0,21.0,90.0,1,Heating,834,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),516.0,mM
3,516 mM KCl,260.0,90.0,21.0,2,Cooling,835,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),516.0,mM
4,516 mM KCl,260.0,21.0,90.0,2,Heating,836,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),516.0,mM
5,116 mM KCl,260.0,90.0,21.0,1,Cooling,837,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),116.0,mM
6,116 mM KCl,260.0,21.0,90.0,1,Heating,838,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),116.0,mM
7,116 mM KCl,260.0,90.0,21.0,2,Cooling,839,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),116.0,mM
8,116 mM KCl,260.0,21.0,90.0,2,Heating,840,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),116.0,mM
9,66 mM KCl,260.0,90.0,21.0,1,Cooling,841,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),66.0,mM
10,66 mM KCl,260.0,21.0,90.0,1,Heating,842,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),66.0,mM
11,66 mM KCl,260.0,90.0,21.0,2,Cooling,843,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),66.0,mM
12,66 mM KCl,260.0,21.0,90.0,2,Heating,844,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),66.0,mM
13,31 mM KCl,260.0,90.0,21.0,1,Cooling,845,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),31.0,mM
14,31 mM KCl,260.0,21.0,90.0,1,Heating,846,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),31.0,mM
15,31 mM KCl,260.0,90.0,21.0,2,Cooling,847,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),31.0,mM
16,31 mM KCl,260.0,21.0,90.0,2,Heating,848,2024-01-26_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),31.0,mM
1,4.15 mM NaCl,260.0,90.0,21.0,1,Cooling,865,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),4.15,mM
2,4.15 mM NaCl,260.0,21.0,90.0,1,Heating,866,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),4.15,mM
3,4.15 mM NaCl,260.0,90.0,21.0,2,Cooling,867,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),4.15,mM
4,4.15 mM NaCl,260.0,21.0,90.0,2,Heating,868,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),4.15,mM
5,1.66 mM NaCl,260.0,90.0,21.0,1,Cooling,869,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),1.66,mM
6,1.66 mM NaCl,260.0,21.0,90.0,1,Heating,870,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),1.66,mM
7,1.66 mM NaCl,260.0,90.0,21.0,2,Cooling,871,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),1.66,mM
8,1.66 mM NaCl,260.0,21.0,90.0,2,Heating,872,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),1.66,mM
9,0.8 mM NaCl,260.0,90.0,21.0,1,Cooling,873,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.8,mM
