CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
,48,0.246156566149286,52,0.248078825078732,48,0.25164700758318,52,0.254213090815424,48,0.247744282710161,52,0.250564149508813,48,0.224423039033504,52,0.226747436346506,48,0.228755496522718,52,0.23191204931479,48,0.23262369583499,52,0.236018552315025,48,0.209962578515005,52,0.218734385815764,48,0.214228328474559,52,0.223189092623139,48,0.218978508388521,52,0.227917128559737,48,0.216470933421414,52,0.217611962958717,48,0.221067123193809,52,0.222131750232961,48,0.225691528363381,52,0.226815701420071,48,0.0237816543046716,52,0.0235697110938755,48,0.0235815698603692,52,0.0234277401929246,48,0.0235003092057675,52,0.023467775727008,48,0.00375713181834009,52,0.00357733088485152,48,0.00371252746272908,52,0.00356005461738201,48,0.00367175099321435,52,0.00359866965952549,48,0.00494213845974343,52,0.00482469378752498,48,0.00483976034438113,52,0.00469736832023818,48,0.00474158576321618,52,0.00459318640692789,48,0.024244996088978,52,0.0241025640187421,48,0.0241072462038869,52,0.0239939945719297,48,0.0240483348206192,52,0.0239214344730345
,47.5,0.245970894587629,52.5,0.248277795022082,47.5,0.251224566160532,52.5,0.254511807825906,47.5,0.246826915507409,52.5,0.250969835486011,47.5,0.223370798818545,52.5,0.227207653049167,47.5,0.227565206048689,52.5,0.232392935499428,47.5,0.231173214048457,52.5,0.236570733285034,47.5,0.207915686596059,52.5,0.22182636081926,47.5,0.212321993142816,52.5,0.226033963670002,47.5,0.217104070577532,52.5,0.231049616078421,47.5,0.216170733716026,52.5,0.218058946288896,47.5,0.220796972019409,52.5,0.222517594996261,47.5,0.225412868261497,52.5,0.227246676688936,47.5,0.0237749257706805,52.5,0.0235582578320523,47.5,0.0235780200641064,52.5,0.0234277649229168,47.5,0.0235012163090039,52.5,0.0234651166749743,47.5,0.00376313219758742,52.5,0.00357571391440584,47.5,0.00370658967134795,52.5,0.00355524195781545,47.5,0.00367242039901253,52.5,0.00358257086100553,47.5,0.0049516264578315,52.5,0.00480712446097392,47.5,0.00484403773508522,52.5,0.00469739792557296,47.5,0.00473871008618497,52.5,0.00459763727231465,47.5,0.0242398525802836,52.5,0.0240914785991656,47.5,0.0241097951525215,52.5,0.0239924457426701,47.5,0.0240389996649613,52.5,0.0239328538713688
,47,0.245729101514269,53,0.248470593573071,47,0.250664025061295,53,0.254765929369298,47,0.245741539064671,53,0.251294259074948,47,0.222076973862406,53,0.22758591507737,47,0.226028101614238,53,0.232849283270177,47,0.229377001058617,53,0.237039558141034,47,0.206175927554722,53,0.224821957252875,47,0.210602443582652,53,0.229350981581325,47,0.215533688751785,53,0.234277787815567,47,0.215912351299353,53,0.218474180194778,47,0.220524645638424,53,0.222989723450752,47,0.225175784466386,53,0.227665323405132,47,0.0237851384973351,53,0.0235542919904732,47,0.0235789255843185,53,0.0234312875305426,47,0.0234848981085665,53,0.0234556568746604,47,0.00376661835857876,53,0.0035869614871451,47,0.00370761707526346,53,0.00355594987767962,47,0.00366186769138542,53,0.00356733424290284,47,0.00495860830730073,53,0.00479860570483535,47,0.00484000207099726,53,0.00469317211310836,47,0.00472677477741187,53,0.00459140637887981,47,0.0242401546831213,53,0.0240900465420795,47,0.0241135118712525,53,0.0239887532658095,47,0.0240329609640234,53,0.0239280926864942
,46.5,0.245500125238275,53.5,0.248660910200637,46.5,0.249993146241284,53.5,0.254987511032333,46.5,0.24443090100581,53.5,0.251579836838254,46.5,0.220591299508523,53.5,0.227863958498204,46.5,0.224152388809622,53.5,0.233192911962576,46.5,0.227154960730501,53.5,0.23738183972242,46.5,0.204789784529166,53.5,0.227419610436545,46.5,0.209172945816959,53.5,0.23228773176686,46.5,0.214143978376863,53.5,0.237257536026758,46.5,0.215678005505073,53.5,0.219001836162328,46.5,0.220292858253932,53.5,0.22347112136868,46.5,0.224945944791919,53.5,0.228169917353567,46.5,0.0237945316669615,53.5,0.0235570347482749,46.5,0.023586525806735,53.5,0.0234360549306978,46.5,0.0234928567830914,53.5,0.0234518684373595,46.5,0.00377051424488207,53.5,0.00359616653857637,46.5,0.0037049158951239,53.5,0.00355967286401479,46.5,0.00366611456588389,53.5,0.0035534780965689,46.5,0.00495888962344704,53.5,0.004796060667667,46.5,0.00485071142546216,53.5,0.0046852179576698,46.5,0.00473473657535202,53.5,0.00458774651925387,46.5,0.0242445295350898,53.5,0.0240942783611278,46.5,0.0241110599532404,53.5,0.0239904216031769,46.5,0.0240473446532373,53.5,0.0239189448037332
,46,0.245221546956129,54,0.248857291114066,46,0.249155315971701,54,0.255198276933509,46,0.242776119752673,54,0.251839498030314,46,0.218603419542743,54,0.228151365366124,46,0.221971384461369,54,0.233509252930142,46,0.224917394150851,54,0.237690161197314,46,0.203504629068003,54,0.230148206339782,46,0.207993244276028,54,0.235108317172574,46,0.21307936918776,54,0.24029429374406,46,0.215462778305302,54,0.219523901687021,46,0.220084006350455,54,0.223979554862022,46,0.224698462071414,54,0.228654965819467,46,0.0237779377310855,54,0.0235550783565418,46,0.0235896651632832,54,0.023440652915965,46,0.023483244266454,54,0.0234513573287974,46,0.00375890395342669,54,0.00359127198351597,46,0.00369606251935967,54,0.00356347833288458,46,0.00367184845461906,54,0.00354990042571105,46,0.00496444420603768,54,0.0047919795139294,46,0.0048515574486423,54,0.00469226196804077,46,0.00472370351997211,54,0.00458785897098799,46,0.0242317301187802,54,0.024098090490556,46,0.0241162536429248,54,0.0239955744313641,46,0.02403337665905,54,0.0239185474443028
,45.5,0.244880340791459,54.5,0.249025811354034,45.5,0.248076763693802,54.5,0.255399709301354,45.5,0.240951305022566,54.5,0.252049631161111,45.5,0.21638980802085,54.5,0.228403604067441,45.5,0.219578960948604,54.5,0.233751990636175,45.5,0.222094592294102,54.5,0.237924908098397,45.5,0.202467312028609,54.5,0.232409729815237,45.5,0.207036164182026,54.5,0.237566305704095,45.5,0.212072790973013,54.5,0.242692325315728,45.5,0.215266788274776,54.5,0.220103142030356,45.5,0.219878137672192,54.5,0.224527002992485,45.5,0.224489518703192,54.5,0.229209989418881,45.5,0.0237815663348176,54.5,0.023547915644128,45.5,0.0235916781720398,54.5,0.0234166063590347,45.5,0.0234919823522833,54.5,0.0234410721110615,45.5,0.00376461487083367,54.5,0.00359168910925348,45.5,0.00369627561674202,54.5,0.00355733441245385,45.5,0.00367612611778613,54.5,0.00355073566871389,45.5,0.00496837695885375,54.5,0.00477308136219892,45.5,0.00485024496560091,54.5,0.00466501480658601,45.5,0.00473827523234533,54.5,0.00457757356110408,45.5,0.0242379757125446,54.5,0.024095425119403,45.5,0.0241224023369724,54.5,0.0239831248533072,45.5,0.0240325989985931,54.5,0.0239191383090203
,45,0.244516363226686,55,0.249174518075157,45,0.246809845840679,55,0.255584528142422,45,0.238886249114983,55,0.252246674216395,45,0.213791185437171,55,0.228600831123032,45,0.216736523445209,55,0.233973308545014,45,0.219224638042739,55,0.238156247475593,45,0.2015594098792,55,0.234662530453191,45,0.206147012480799,55,0.239792687998747,45,0.211238577435906,55,0.245076336136773,45,0.215096074117687,55,0.22074020411601,45,0.219682814651855,55,0.225151630868932,45,0.224325192866729,55,0.229849624499846,45,0.0238030846168591,55,0.0235484134655041,45,0.023591630871426,55,0.0234176599693863,45,0.0234895984826339,55,0.023440783196898,45,0.0037691381653425,55,0.00359245390924678,45,0.00369951589049277,55,0.00355105593951621,45,0.0036822236038578,55,0.00354251423451035,45,0.0049718029042416,55,0.00476661794260748,45,0.00486011185081015,55,0.00465473670321823,45,0.00472775758107753,55,0.00457489723694627,45,0.0242395901368142,55,0.0240932756287921,45,0.0241240276268416,55,0.0239795266540812,45,0.0240332192814039,55,0.0239216077086845
,44.5,0.243990066424862,55.5,0.249296184069421,44.5,0.24529263795874,55.5,0.255733322996062,44.5,0.236596430358342,55.5,0.252399995200509,44.5,0.211043375270503,55.5,0.228793558547609,44.5,0.213703275284396,55.5,0.234198290354869,44.5,0.21604226709914,55.5,0.238345410968821,44.5,0.200816059442995,55.5,0.236112010871237,44.5,0.205379408941402,55.5,0.241606262117457,44.5,0.210485215032139,55.5,0.246958818019967,44.5,0.214895967251475,55.5,0.221450494077515,44.5,0.219509839063726,55.5,0.22588350422065,44.5,0.22414272091739,55.5,0.230531718085319,44.5,0.023792235775189,55.5,0.0235381666613817,44.5,0.0235948794263486,55.5,0.0234199341303118,44.5,0.0234805582319197,55.5,0.0234264282951896,44.5,0.00375688944043539,55.5,0.00359461568168078,44.5,0.00369711860996783,55.5,0.0035572854651492,44.5,0.00367196600592132,55.5,0.00354141206542813,44.5,0.00497765152860875,55.5,0.00474898571326144,44.5,0.00486916322759039,55.5,0.00464599972500378,44.5,0.00472579341790156,55.5,0.00456075084560644,44.5,0.0242329289532316,55.5,0.0240898469244325,44.5,0.0241236936630684,55.5,0.023977878463442,44.5,0.0240323669100747,55.5,0.0239155033660543
,44,0.243357226693249,56,0.249447150914118,44,0.243595816393561,56,0.255892009388647,44,0.234291216301529,56,0.252534670257928,44,0.207917989350103,56,0.228963994593824,44,0.210544088413363,56,0.234369426056989,44,0.212895354824988,56,0.238511899051029,44,0.200084638368099,56,0.237315820350687,44,0.204680393830291,56,0.243205727928317,44,0.209813779297281,56,0.248531104590965,44,0.214749591988352,56,0.22225762965886,44,0.219344988612368,56,0.226610063090063,44,0.223983921633687,56,0.231664076780854,44,0.0237701541611531,56,0.0235443454533726,44,0.0235863743318883,56,0.0234065874691935,44,0.0234716127342172,56,0.0234047149510595,44,0.00376113076101708,56,0.00358992404837365,44,0.00369506708510863,56,0.00355719530622225,44,0.00367120647534153,56,0.00354207892127099,44,0.00497582699431698,56,0.00474796934670958,44,0.00486299154072448,56,0.00463008374008037,44,0.00472103006907325,56,0.00454366904617325,44,0.024235875267612,56,0.0240915007076302,44,0.0241133574004104,56,0.0239714856929307,44,0.0240297259110569,56,0.0239024845369853
,43.5,0.242619817640483,56.5,0.249583148389207,43.5,0.241717351036976,56.5,0.256007704679206,43.5,0.231733936472953,56.5,0.252675105103605,43.5,0.205129602238522,56.5,0.229164868887833,43.5,0.207622282542139,56.5,0.234556136907922,43.5,0.210053357555264,56.5,0.238672054627578,43.5,0.199524181540876,56.5,0.238457434622196,43.5,0.204102914103955,56.5,0.244406697179892,43.5,0.209228520142604,56.5,0.250117637671194,43.5,0.214593617440114,56.5,0.223195334438997,43.5,0.219206420959906,56.5,0.227590879604265,43.5,0.22382503788867,56.5,0.232438915025755,43.5,0.0237741237724652,56.5,0.0235439175739117,43.5,0.0235812922141291,56.5,0.023409962812973,43.5,0.0234740069777508,56.5,0.023402366847817,43.5,0.00376401652274595,56.5,0.00358836400256099,43.5,0.0037012836269409,56.5,0.00354852552640742,43.5,0.00367741867460067,56.5,0.00353846758487242,43.5,0.00498243997247603,56.5,0.00473221792272867,43.5,0.00486663075327957,56.5,0.00461345821710246,43.5,0.00472960010331706,56.5,0.00453239355255833,43.5,0.024241490020713,56.5,0.0240871475479747,43.5,0.0241068530263342,56.5,0.023978821124761,43.5,0.0240273850830005,56.5,0.0238940578168638
,43,0.24172831560719,57,0.249683859711566,43,0.239658117734578,57,0.25612925843377,43,0.229184363946534,57,0.252787492518929,43,0.202112992616381,57,0.229322071507477,43,0.204932513492094,57,0.234766583796752,43,0.207392260494023,57,0.23881819039807,43,0.198952229087895,57,0.239254426137424,43,0.203574897923347,57,0.245479253850673,43,0.208661059286638,57,0.251182227580101,43,0.214467193420028,57,0.224303982071362,43,0.21905188735597,57,0.228684977673055,43,0.223690351346632,57,0.233422558202685,43,0.0237810498240148,57,0.0235461036507099,43,0.0235790902292537,57,0.0234066263555722,43,0.0234773117642943,57,0.0233959802587066,43,0.00376520452232161,57,0.00359271545490172,43,0.00369874516553105,57,0.00355108497790419,43,0.00366446424350478,57,0.00353487906914658,43,0.00498411721872192,57,0.00472802374165188,43,0.004865661461441,57,0.0046133318200362,43,0.00474037275356653,57,0.00452291933034222,43,0.0242517731638883,57,0.0240826962773549,43,0.0240974943209166,57,0.0239761069410585,43,0.0240251215889772,57,0.0238904845743013
,42.5,0.240704695920628,57.5,0.24976469426511,42.5,0.237391689659332,57.5,0.256223712654343,42.5,0.226725638901282,57.5,0.252873923707044,42.5,0.199347424231637,57.5,0.229488685918494,42.5,0.202478905309103,57.5,0.234910273737119,42.5,0.205001317254144,57.5,0.238946715082029,42.5,0.198419224413956,57.5,0.239928980959529,42.5,0.203071234475943,57.5,0.246283618272003,42.5,0.208142821227843,57.5,0.252027784914243,42.5,0.214350082350247,57.5,0.225549072575304,42.5,0.218913298131959,57.5,0.229893806055797,42.5,0.223570383490845,57.5,0.23470137724384,42.5,0.0237939175459498,57.5,0.0235387926045611,42.5,0.023571934809462,57.5,0.0233864013185364,42.5,0.0234687623399358,57.5,0.0233763476615477,42.5,0.00376925384735824,57.5,0.00359226072607371,42.5,0.00369743316249108,57.5,0.00355388018200711,42.5,0.00366846551239531,57.5,0.00352744824347756,42.5,0.00499209285723446,57.5,0.0047124747669746,42.5,0.00485825278593656,57.5,0.00459220357701009,42.5,0.00473963374807145,57.5,0.00450526960889072,42.5,0.0242590842781513,57.5,0.0240802987645318,42.5,0.0240956956343823,57.5,0.0239651299279647,42.5,0.0240317880174004,57.5,0.0238849235642464
,42,0.239459325781748,58,0.249860077789465,42,0.234968682718609,58,0.256328995176375,42,0.224231568583304,58,0.252997985915762,42,0.197043182222514,58,0.229649364885188,42,0.200177665723614,58,0.235042949320651,42,0.203019011590728,58,0.239075748014163,42,0.197975205209651,58,0.240421979961859,42,0.202591551431757,58,0.246915328611961,42,0.207672299942886,58,0.252516863552835,42,0.214200406899991,58,0.227052199603062,42,0.218797406831773,58,0.231363343042124,42,0.223436816642886,58,0.236119651510824,42,0.0238015267362406,58,0.0235237022554436,42,0.0235809763257019,58,0.0233880243845066,42,0.0234726966723553,58,0.0233592440928945,42,0.00375972801578382,58,0.00359176782197098,42,0.00369165515889896,58,0.00355071200624124,42,0.00366867112400808,58,0.00352567975096483,42,0.0050037367159307,58,0.00469120699137715,42,0.0048682816933968,58,0.00459143566968264,42,0.00473645862029775,58,0.00448493092554458,42,0.0242476433737739,58,0.0240736939111508,42,0.0241064453227589,58,0.0239734100427379,42,0.0240363269710145,58,0.0238879339147029
,41.5,0.237984463278166,58.5,0.24993565965924,41.5,0.232585059357936,58.5,0.256432773544235,41.5,0.22199846998873,58.5,0.253075413878144,41.5,0.194905260462178,58.5,0.229784814525469,41.5,0.198360259175252,58.5,0.235181820159011,41.5,0.201334669997368,58.5,0.239199574294771,41.5,0.197526904063106,58.5,0.240810578059235,41.5,0.20218871382343,58.5,0.24752919463479,41.5,0.207254372560553,58.5,0.25300383221,41.5,0.214094426477068,58.5,0.228894444242409,41.5,0.218681051017763,58.5,0.23308804995736,41.5,0.223308135249966,58.5,0.237754594669879,41.5,0.0237872160433397,58.5,0.0235183355685568,41.5,0.0235825357868585,58.5,0.0233902982982009,41.5,0.0234798685189899,58.5,0.0233651243536278,41.5,0.00375070782714944,58.5,0.00360147764148175,41.5,0.00369336595864302,58.5,0.00355163614271352,41.5,0.00367126396455654,58.5,0.00352736424035068,41.5,0.00499991105335022,58.5,0.00466787447624513,41.5,0.00487918184062619,58.5,0.0045826916427405,41.5,0.00474966773499419,58.5,0.00448907090755788,41.5,0.0242511723337133,58.5,0.0240688489686777,41.5,0.0241101459715086,58.5,0.0239813087349097,41.5,0.0240346335695523,58.5,0.0238925556990944
,41,0.236402481454717,59,0.249984575309912,41,0.230112376311187,59,0.256499912144088,41,0.220005205001547,59,0.25314299787559,41,0.193120660608753,59,0.229934766377016,41,0.19667619104713,59,0.235323131724686,41,0.19983732492002,59,0.239314088256643,41,0.197111597644123,59,0.24113829827901,41,0.201751384421807,59,0.247974514290285,41,0.206809244974629,59,0.253390984042273,41,0.213983960889987,59,0.230903273719893,41,0.218568419716465,59,0.235152765909045,41,0.223186737648168,59,0.239652352531756,41,0.0237861801058359,59,0.0235232328551111,41,0.0235848008952922,59,0.0233857701996581,41,0.0234702061129739,59,0.0233525179269309,41,0.00374721404603653,59,0.00359695247142579,41,0.00369516396179438,59,0.00355186929221908,41,0.00366537831868059,59,0.00352521834240833,41,0.00500864040886346,59,0.00466118137063621,41,0.00487894683463497,59,0.00456506863045769,41,0.00473630924592229,59,0.00447078717884965,41,0.0242466926070734,59,0.0240686269256525,41,0.0241069381340339,59,0.0239750463710382,41,0.0240270863533511,59,0.0238877189196641
,40.5,0.234609521549779,59.5,0.250059850224928,40.5,0.227848030307183,59.5,0.256597303675259,40.5,0.218039004738534,59.5,0.253209955001927,40.5,0.191609669026464,59.5,0.230082601676584,40.5,0.195253770757632,59.5,0.235454404025249,40.5,0.198650688473858,59.5,0.239429617982935,40.5,0.196718575066316,59.5,0.241416739475444,40.5,0.201345832386369,59.5,0.248376165926036,40.5,0.206424577701023,59.5,0.253704744156501,40.5,0.213892009556945,59.5,0.233325030745856,40.5,0.218458490012525,59.5,0.237393622902297,40.5,0.223092829833509,59.5,0.242039512414691,40.5,0.0237830848211713,59.5,0.0235207480506725,40.5,0.0235788630937833,59.5,0.0233791415780084,40.5,0.023473015881959,59.5,0.02333871605046,40.5,0.00375187010645978,59.5,0.00358460296831591,40.5,0.00369570345702245,59.5,0.00354540822531967,40.5,0.00365814329762328,59.5,0.00352644108607162,40.5,0.00501171147305214,59.5,0.00464163611888464,40.5,0.00487597774721883,59.5,0.00455090661295367,40.5,0.0047439428824628,59.5,0.00445979789271301,40.5,0.0242443475632145,59.5,0.0240676870698498,40.5,0.0241030581822576,59.5,0.0239714350860251,40.5,0.0240271609700436,59.5,0.0238903045691171
,40,0.232608411524727,60,0.25010426718295,40,0.22564744950258,60,0.256669506806615,40,0.216416721638826,60,0.25329020286508,40,0.190375924526316,60,0.230219272105441,40,0.194127917928382,60,0.23558593968538,40,0.197624709731204,60,0.239541062071174,40,0.196363416683794,60,0.241709696809591,40,0.20098950868542,60,0.248667253030729,40,0.206066273111225,60,0.253962702208367,40,0.213777795307233,60,0.235860468816131,40,0.218364561089529,60,0.240149908039741,40,0.22300325721898,60,0.244537453080594,40,0.0237794981078569,60,0.0235186931536146,40,0.0235808647341969,60,0.0233778136783369,40,0.0234809096061676,60,0.0233212830473828,40,0.00375939984644513,60,0.0035955152584445,40,0.00368524954039477,60,0.00355035814546527,40,0.00366303019270557,60,0.00353048792946814,40,0.00501387533264803,60,0.00463513555348693,40,0.00488052960093951,60,0.00454946726556396,40,0.00474875126516078,60,0.00444153741144189,40,0.0242353235461483,60,0.0240701667998525,40,0.0241091891864402,60,0.0239722829662552,40,0.024032117679279,60,0.0238844345153291
,39.5,0.230538089099502,60.5,0.25016278768393,39.5,0.223445400613834,60.5,0.25671238285005,39.5,0.214951959943081,60.5,0.253366036458648,39.5,0.189319665910106,60.5,0.230350724594994,39.5,0.193146195024665,60.5,0.23571539543266,39.5,0.196742649148435,60.5,0.239647311633269,39.5,0.196037410299147,60.5,0.241866167886234,39.5,0.200638392954534,60.5,0.248912687458554,39.5,0.205720108737975,60.5,0.254205315650065,39.5,0.213702153503347,60.5,0.238604003103449,39.5,0.218263689763959,60.5,0.243568962035102,39.5,0.222899307949612,60.5,0.24737853063252,39.5,0.0237852398628893,60.5,0.0235254810586779,39.5,0.0235811080419906,60.5,0.0233843783872373,39.5,0.0234749569229034,60.5,0.0233071218247607,39.5,0.00375541248412503,60.5,0.00359760213368499,39.5,0.00368824971843897,60.5,0.00355567025649464,39.5,0.0036661953436903,60.5,0.0035256848026505,39.5,0.00501979686516174,60.5,0.00463325722952468,39.5,0.00488784583834994,60.5,0.00455815941109033,39.5,0.00475288663669825,60.5,0.00443928036581222,39.5,0.0242378863218644,60.5,0.0240619639164283,39.5,0.0241172620602155,60.5,0.0239807478950512,39.5,0.0240315757617282,60.5,0.0238858306416928
,39,0.228477929554802,61,0.250194179197352,39,0.221384075542841,61,0.256770250422609,39,0.213708199370165,61,0.253433607687675,39,0.188405254919315,61,0.230478446287364,39,0.192326652172861,61,0.235840655207502,39,0.196012645759949,61,0.239776130587005,39,0.195731760417942,61,0.242106648873131,39,0.200331394993129,61,0.249122033100909,39,0.20542602713372,61,0.254415230059888,39,0.213609946451456,61,0.241413879976163,39,0.218163514610886,61,0.246117868708344,39,0.222816608737788,61,0.250299006711872,39,0.0237929299711814,61,0.0235197972041694,39,0.0235817096426412,61,0.0233897982113433,39,0.0234695723228765,61,0.0233181914921099,39,0.0037526388314589,61,0.00359939050444228,39,0.00369078832122242,61,0.00355541959133428,39,0.00366250743550933,61,0.00351886673569791,39,0.00502516825234023,61,0.00461695900161885,39,0.00488139063531523,61,0.00454812673512096,39,0.00474573791328895,61,0.0044457694348048,39,0.0242430310328116,61,0.0240641577740482,39,0.0241202427539941,61,0.0239816762979399,39,0.0240258093633859,61,0.023891170268787
,38.5,0.226368454921771,61.5,0.250231039030317,38.5,0.219621339670079,61.5,0.256833737803439,38.5,0.212646172706347,61.5,0.253511216309304,38.5,0.187613599521131,61.5,0.230611949484345,38.5,0.19160894028222,61.5,0.23596785538286,38.5,0.195341293837519,61.5,0.234582979054582,38.5,0.195447785194513,61.5,0.242302122971866,38.5,0.200042774265801,61.5,0.249266538970952,38.5,0.20513714845018,61.5,0.254612250336615,38.5,0.213516219869202,61.5,0.244393623852097,38.5,0.218079813612839,61.5,0.248926821166694,38.5,0.222724250297813,61.5,0.25334806230212,38.5,0.023807516973667,61.5,0.0235254562868502,38.5,0.0235850383358297,61.5,0.0233937243298775,38.5,0.0234766286315516,61.5,0.0233298172791178,38.5,0.00375457699298224,61.5,0.00360639827300048,38.5,0.00369144261628987,61.5,0.00355685406716397,38.5,0.00365954950376126,61.5,0.00354155237992338,38.5,0.00504217093200269,61.5,0.00461369086294263,38.5,0.00487486731577479,61.5,0.00454768541565664,38.5,0.0047619113892529,61.5,0.00444921525361688,38.5,0.0242473369227224,61.5,0.0240633280533531,38.5,0.0241095717477456,61.5,0.0239886703008796,38.5,0.0240253367193558,61.5,0.0239023281764618
